geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00006342	0.434626554	-2.31E-06	0.002671684
WBGene00022219	0.489217617	5.71E-06	-0.035339358
WBGene00002005	-2.310718891	-0.948211972	0.037118348
WBGene00012128	-2.310718891	-0.948211972	0.037118348
WBGene00019437	-2.6567262	-7.40E-06	-0.069471397
WBGene00002005	-2.173745914	-0.840063571	0.044974312
WBGene00220101	-2.114258894	-9.97E-06	-0.004524665
WBGene00002005	-1.960418097	-0.746219622	0.030046755
WBGene00020767	-2.293462917	-8.14E-06	-0.115539052
WBGene00008144	-1.937164487	-2.24E-05	0.004401602
WBGene00044180	-1.937164487	-2.24E-05	0.004401602
WBGene00006603	-1.895107725	-7.16E-06	0.016396734
WBGene00000915	-2.1551232	-1.026605456	0.01641497
WBGene00007484	-1.908214967	-1.74E-05	-0.617003558
WBGene00010053	-1.594147219	-3.08E-05	0.027631271
WBGene00001031	-1.594147219	-3.08E-05	0.027631271
WBGene00018938	-1.746072946	-5.13E-06	0.03905408
WBGene00018938	-1.755553992	-5.28E-06	0.026640741
WBGene00022382	-2.370264892	-1.055046557	-0.011457898
WBGene00000915	-1.724497905	-1.80E-05	0.038455377
WBGene00010052	-1.823660337	-2.05E-05	0.064274895
WBGene00001031	-1.823660337	-2.05E-05	0.064274895
WBGene00020914	-1.533799713	9.26E-06	0.042230748
WBGene00001993	-1.610519953	-5.76E-06	-0.016147069
WBGene00022382	-1.78753442	-1.71E-05	-0.006219029
WBGene00000915	-1.754258027	-2.06E-05	0.038749818
WBGene00002005	-1.384798825	-2.22E-05	0.053708278
WBGene00009156	-1.384798825	-2.22E-05	0.053708278
WBGene00004185	-1.314944346	-6.98E-06	0.159957511
WBGene00011304	-1.314944346	-6.98E-06	0.159957511
WBGene00010052	-1.326903215	-2.39E-05	0.045618516
WBGene00006603	-1.392617092	-4.07E-06	-0.03625051
WBGene00004804	-1.683554883	-6.90E-06	0.025463219
WBGene00003579	-1.326591608	-9.85E-06	0.067408692
WBGene00020962	-1.326591608	-9.85E-06	0.067408692
WBGene00006603	-1.795307155	-7.10E-06	0.002121512
WBGene00000188	-1.532638607	-5.87E-06	-0.028082277
WBGene00006603	-1.532638607	-5.87E-06	-0.028082277
WBGene00006603	-1.776934477	-4.54E-06	0.030161509
WBGene00008963	-1.776934477	-4.54E-06	0.030161509
WBGene00003668	-1.412219998	-1.40E-05	-0.062904644
WBGene00017486	-1.412219998	-1.40E-05	-0.062904644
WBGene00008359	-1.497880642	1.18E-06	0.051692794
WBGene00011074	-1.319546133	-0.321887406	-0.440923194
WBGene00011075	-1.319546133	-0.321887406	-0.440923194
WBGene00011615	-1.775157473	-1.78E-06	-0.04407105
WBGene00020917	-1.511218185	6.70E-06	-0.006835469
WBGene00017300	-1.190308046	8.92E-06	0.139801489
WBGene00017668	-1.49091157	-1.47E-06	-0.005271718
WBGene00019731	-1.605728697	5.93E-07	0.029822832
WBGene00003394	-1.374409477	-3.19E-06	-0.084713662
WBGene00004185	-1.155632877	-4.38E-06	0.081831883
WBGene00011304	-1.155632877	-4.38E-06	0.081831883
WBGene00012608	-1.343216913	1.60E-06	-0.056786035
WBGene00008961	-1.634850518	-5.76E-06	-0.024938881
WBGene00006603	-1.947259418	-4.30E-06	-0.030605582
WBGene00219907	-1.947259418	-4.30E-06	-0.030605582
WBGene00003001	-1.300542314	-0.999880616	0.08630158
WBGene00022712	-0.832426668	-1.12E-05	-0.009243808
WBGene00020955	-1.234085513	-1.16E-05	0.091271885
WBGene00020962	-1.234085513	-1.16E-05	0.091271885
WBGene00006868	-1.297749698	7.78E-06	0.070679822
WBGene00009180	-1.535828548	-4.68E-06	0.082554467
WBGene00001749	-1.438860746	-1.63E-05	0.055517383
WBGene00000915	-1.266214291	-1.64E-05	0.00755924
